node_id,x,y,square,nearest_service_point,population,assigned_population,assigned_square
4821,101399.0,40546.0,E1795N3170,1204,340.0,9.18918918918919,E1795N3170
4822,97614.0,48117.0,E1790N3175,2096,630.0,9.0,E1790N3175
4823,93704.0,39077.0,,1176,,0.3,E1790N3165
4824,93682.0,38960.0,,1176,,0.3,E1790N3165
4825,94855.0,41195.0,E1790N3170,2155,1040.0,18.90909090909091,E1790N3170
4826,92571.0,42291.0,E1785N3170,2155,2030.0,27.066666666666666,E1785N3170
4827,92562.0,42017.0,E1785N3170,2155,2030.0,27.066666666666666,E1785N3170
4828,94452.0,13890.0,E1790N3140,284,25.0,2.0833333333333335,E1790N3140
4829,81933.0,44192.0,E1780N3170,7229,605.0,8.287671232876713,E1780N3170
4830,81772.0,34963.0,E1780N3160,753,205.0,2.77027027027027,E1780N3160
4831,82196.0,34106.0,E1780N3160,753,205.0,2.77027027027027,E1780N3160
4832,86883.0,33742.0,E1785N3160,1176,1265.0,24.326923076923077,E1785N3160
4833,36669.0,7871.0,,6765,,0.3,E1750N3130
4834,37085.0,6510.0,,6765,,0.3,E1750N3130
4835,37427.0,6466.0,,6765,,0.3,E1750N3130
4836,37342.0,12661.0,,6765,,0.3,E1750N3140
4837,43070.0,11194.0,E1750N3135,6765,2.0,0.04878048780487805,E1750N3135
4838,37297.0,11158.0,E1750N3135,6765,2.0,0.04878048780487805,E1750N3135
4839,36678.0,11396.0,E1750N3135,6765,2.0,0.04878048780487805,E1750N3135
4840,33077.0,16805.0,E1745N3140,6765,2.0,0.07407407407407407,E1745N3140
4841,33313.0,15967.0,E1745N3140,6765,2.0,0.07407407407407407,E1745N3140
4842,32809.0,15134.0,E1745N3140,6765,2.0,0.07407407407407407,E1745N3140
4843,32357.0,14609.0,E1745N3140,6765,2.0,0.07407407407407407,E1745N3140
4844,38683.0,14498.0,E1750N3140,6765,2.0,0.3333333333333333,E1750N3140
4845,41195.0,6854.0,,6765,,0.3,E1750N3130
4846,54016.0,46449.0,E1760N3175,1934,1885.0,20.268817204301076,E1760N3175
4847,80662.0,28644.0,E1780N3155,753,290.0,4.915254237288136,E1780N3155
4848,92543.0,41401.0,E1785N3170,2155,2030.0,27.066666666666666,E1785N3170
4849,50658.0,52634.0,E1760N3180,5499,2590.0,20.887096774193548,E1760N3180
4850,63274.0,47262.0,E1765N3175,4431,1615.0,18.352272727272727,E1765N3175
4851,55023.0,47451.0,E1760N3175,1934,1885.0,20.268817204301076,E1760N3175
4852,93133.0,31392.0,E1785N3160,931,1265.0,24.326923076923077,E1785N3160
4853,93060.0,31607.0,E1785N3160,931,1265.0,24.326923076923077,E1785N3160
4854,93278.0,31523.0,E1785N3160,931,1265.0,24.326923076923077,E1785N3160
4855,98153.0,43815.0,E1790N3170,2096,1040.0,18.90909090909091,E1790N3170
4856,98153.0,43723.0,E1790N3170,2096,1040.0,18.90909090909091,E1790N3170
4857,93544.0,40817.0,,1176,,0.3,E1785N3170
4858,54099.0,38999.0,E1760N3165,4387,1570.0,32.708333333333336,E1760N3165
4859,59992.0,46918.0,E1765N3175,4431,1615.0,18.352272727272727,E1765N3175
4860,61718.0,55528.0,E1765N3185,3155,35.0,1.1666666666666667,E1765N3185
4861,57985.0,55689.0,E1765N3185,3155,35.0,1.1666666666666667,E1765N3185
4862,50421.0,51357.0,,5499,,0.3,E1755N3180
4863,50857.0,52522.0,E1760N3180,5499,2590.0,20.887096774193548,E1760N3180
4864,51328.0,44345.0,E1760N3170,1934,1155.0,14.25925925925926,E1760N3170
4865,55010.0,46308.0,E1760N3175,1934,1885.0,20.268817204301076,E1760N3175
4866,36176.0,50164.0,E1750N3180,8282,890.0,13.484848484848484,E1750N3180
4867,35810.0,49825.0,E1745N3180,8282,1460.0,21.470588235294116,E1745N3180
4868,71433.0,42638.0,E1770N3170,4987,2785.0,29.010416666666668,E1770N3170
4869,53346.0,46031.0,E1760N3175,1934,1885.0,20.268817204301076,E1760N3175
4870,65074.0,44059.0,E1770N3170,4987,2785.0,29.010416666666668,E1770N3170
4871,20187.0,38608.0,E1735N3165,1379,1895.0,24.61038961038961,E1735N3165
4872,11629.0,43213.0,E1730N3170,2075,1975.0,32.916666666666664,E1730N3170
4873,9586.0,42934.0,E1730N3170,2075,1975.0,32.916666666666664,E1730N3170
4874,60610.0,44926.0,,4387,,0.3,E1765N3170
4875,60508.0,47043.0,E1765N3175,4431,1615.0,18.352272727272727,E1765N3175
4876,60465.0,47180.0,E1765N3175,4431,1615.0,18.352272727272727,E1765N3175
4877,16912.0,30532.0,E1735N3155,4356,630.0,37.05882352941177,E1735N3155
4878,61759.0,40165.0,E1765N3165,4387,965.0,16.92982456140351,E1765N3165
4879,61946.0,39485.0,E1765N3165,4387,965.0,16.92982456140351,E1765N3165
4880,53728.0,45163.0,E1760N3175,1934,1885.0,20.268817204301076,E1760N3175
4881,53370.0,45933.0,E1760N3175,1934,1885.0,20.268817204301076,E1760N3175
4882,41335.0,62423.0,E1750N3190,3343,655.0,22.586206896551722,E1750N3190
4883,39913.0,62949.0,E1750N3190,3343,655.0,22.586206896551722,E1750N3190
4884,39790.0,62815.0,E1750N3190,3343,655.0,22.586206896551722,E1750N3190
4885,28774.0,62608.0,,3513,,0.3,E1740N3190
4886,28367.0,62434.0,E1740N3190,3513,1790.0,28.870967741935484,E1740N3190
4887,45296.0,74405.0,E1755N3205,3155,65.0,13.0,E1755N3205
4888,51382.0,68130.0,E1760N3200,3155,30.0,4.285714285714286,E1760N3200
4890,62333.0,58840.0,,3155,,0.3,E1765N3190
4891,57988.0,59810.0,E1765N3190,3155,140.0,5.6,E1765N3190
4892,80976.0,38462.0,E1780N3165,7229,140.0,1.4736842105263157,E1780N3165
4893,79858.0,39296.0,E1780N3165,7229,140.0,1.4736842105263157,E1780N3165
4894,61165.0,36640.0,E1765N3165,1026,965.0,16.92982456140351,E1765N3165
4895,47896.0,51337.0,E1755N3180,5499,1290.0,32.25,E1755N3180
4896,49255.0,51524.0,E1755N3180,5499,1290.0,32.25,E1755N3180
4897,78837.0,50220.0,E1775N3180,7229,1325.0,20.384615384615383,E1775N3180
4898,57403.0,51742.0,E1760N3180,4431,2590.0,20.887096774193548,E1760N3180
4899,58050.0,51948.0,E1765N3180,4431,765.0,12.75,E1765N3180
4900,72348.0,48763.0,E1775N3175,7229,1355.0,18.819444444444443,E1775N3175
4901,56042.0,3795.0,E1760N3130,1026,2.0,0.3333333333333333,E1760N3130
4902,116066.0,25171.0,E1805N3150,657,15.0,3.75,E1805N3150
4903,30911.0,19034.0,E1745N3145,1258,15.0,1.6666666666666667,E1745N3145
4904,80313.0,2325.0,E1780N3125,284,2.0,0.5,E1780N3125
4905,75044.0,13626.0,E1775N3140,753,95.0,3.8,E1775N3140
4906,72731.0,15122.0,E1775N3140,753,95.0,3.8,E1775N3140
4907,38526.0,69399.0,E1750N3200,3343,2.0,0.6666666666666666,E1750N3200
4908,63303.0,81630.0,E1765N3210,3921,2.0,0.3333333333333333,E1765N3210
4909,79962.0,34996.0,E1780N3160,753,205.0,2.77027027027027,E1780N3160
4910,65029.0,44058.0,E1770N3170,4987,2785.0,29.010416666666668,E1770N3170
4911,64882.0,55812.0,,4431,,0.3,E1770N3185
4912,95395.0,39731.0,E1790N3165,1204,1560.0,26.440677966101696,E1790N3165
4913,90775.0,77259.0,,5820,,0.3,E1785N3205
4914,79679.0,32223.0,E1780N3160,753,205.0,2.77027027027027,E1780N3160
4915,79683.0,32447.0,E1780N3160,753,205.0,2.77027027027027,E1780N3160
4916,79278.0,32452.0,,753,,0.3,E1780N3160
4917,85313.0,40782.0,E1780N3170,2155,605.0,8.287671232876713,E1780N3170
4918,85786.0,40888.0,E1780N3170,2155,605.0,8.287671232876713,E1780N3170
4919,86428.0,46609.0,,2155,,0.3,E1785N3175
4921,21332.0,35793.0,E1735N3165,1379,1895.0,24.61038961038961,E1735N3165
4922,20038.0,36274.0,E1735N3165,1379,1895.0,24.61038961038961,E1735N3165
4923,19395.0,36505.0,E1735N3165,1379,1895.0,24.61038961038961,E1735N3165
4924,20854.0,36191.0,E1735N3165,1379,1895.0,24.61038961038961,E1735N3165
4925,20701.0,36028.0,E1735N3165,1379,1895.0,24.61038961038961,E1735N3165
4926,21478.0,35953.0,E1735N3165,1379,1895.0,24.61038961038961,E1735N3165
4927,20197.0,36441.0,E1735N3165,1379,1895.0,24.61038961038961,E1735N3165
4928,52223.0,64728.0,E1760N3195,3155,145.0,12.083333333333334,E1760N3195
4929,52697.0,43760.0,E1760N3170,1934,1155.0,14.25925925925926,E1760N3170
4930,52997.0,43174.0,E1760N3170,1934,1155.0,14.25925925925926,E1760N3170
4931,55017.0,47541.0,E1760N3175,1934,1885.0,20.268817204301076,E1760N3175
4932,57111.0,41990.0,E1760N3170,4387,1155.0,14.25925925925926,E1760N3170
4933,74165.0,40674.0,E1775N3170,4987,2275.0,37.295081967213115,E1775N3170
