node_id,nearest_service_point,distance_to_service_point
445,417,223.101415
446,753,998.08962064
447,417,618.7928267
448,753,1117.14357133
449,753,992.1740131199999
450,417,576.5923527699999
451,417,451.41241499
452,753,963.08176069
453,753,993.74062473
454,417,458.46059195
455,417,82.25444142
456,417,166.40311937
457,417,194.47445707
458,1258,2000.335078004
459,417,207.79118661
460,753,972.6304376200001
461,753,940.51164771
462,1258,1832.880050999
463,417,421.12428253999997
464,417,402.12428253999997
465,4387,2542.5234181489996
466,417,264.61836054
467,417,226.09723367
468,753,1249.1233804199999
469,417,619.79536192
470,417,256.51104632
471,657,1264.4594120699999
472,753,1008.0417583799999
473,417,312.9458098
474,417,209.50764349000002
475,417,276.61079756000004
476,417,310.71436725
477,417,283.61079756000004
478,417,470.85354958000005
479,417,552.85964691
480,753,1011.5579662299999
481,753,983.74537915
482,753,959.65891018
483,417,153.70372413
484,417,264.50774033000005
485,753,871.3356403099999
486,753,992.17738992
487,753,963.29348437
488,753,890.8780676199999
489,753,890.1126968899998
490,753,959.5415093500001
491,753,1384.31813604
492,417,369.75409963
493,417,255.88493573000002
494,417,719.28827874
495,417,699.48726866
496,417,342.91159766
497,417,330.91159766
498,417,700.00422918
499,417,623.50364095
500,417,608.30331201
501,753,948.9750837200002
502,417,534.35945482
503,417,590.84481071
504,753,882.6232916099998
505,417,478.2438199
506,753,828.4289100200001
507,753,782.2457980199999
508,417,347.885217696
509,417,262.145786856
510,417,327.765905726
511,417,344.677735906
512,753,1114.9226855099998
513,753,1410.4216471699997
514,753,1010.87942531
515,417,473.7871663810001
516,417,1751.88994025
517,753,746.6368103899999
518,753,945.9032949699999
519,1026,1448.4595523300002
520,753,792.01424129
521,1026,1423.4395603200003
522,753,921.98518126
523,753,869.2746823499999
524,718,604.969317733
525,718,686.0750690499999
526,753,772.5643416400001
527,753,1154.60380177
528,753,1118.50158577
529,753,710.23734969
530,718,615.696258413
531,417,421.95882973600004
532,718,551.801188183
533,657,791.5765964299999
534,417,337.356224966
