NODE ID;X;Y;SQUARE
307;83282;12272;E1780N3135
308;85231;12311;E1780N3135
309;96137;12327;E1790N3135
310;82992;12359;E1780N3135
311;86540;12443;E1785N3135
312;86639;12462;E1785N3135
313;85202;13393;E1780N3140
314;87398;12601;E1785N3135
315;87948;12697;E1785N3140
316;88653;12823;E1785N3140
317;88766;12842;E1785N3140
318;73293;12880;E1775N3140
319;94747;13036;E1790N3140
320;94482;13268;E1790N3140
321;94469;14448;E1790N3140
322;94349;14641;E1790N3140
323;94228;14741;E1790N3140
324;93620;14846;E1790N3140
325;93469;14905;E1785N3140
326;93866;14972;E1790N3140
327;93460;15050;E1785N3140
328;93827;15061;E1790N3140
329;72570;15087;E1775N3140
330;93684;15117;E1790N3140
331;86669;15483;E1785N3140
332;34430;15535;E1745N3140
333;34018;15547;E1745N3140
334;34356;15845;E1745N3140
335;84822;15765;E1780N3140
336;34331;15934;E1745N3140
337;86009;16454;E1780N3140
338;61579;16685;E1765N3140
339;61465;16728;E1765N3140
340;32869;16995;E1745N3140
341;94673;16977;E1790N3140
342;75832;17236;E1775N3145
343;74529;17276;E1775N3145
344;31777;18044;E1745N3145
345;74480;17458;E1775N3145
346;89809;17865;E1785N3145
347;129143;17733;E1810N3145
348;84159;17774;E1780N3145
349;71669;18005;E1770N3145
350;74299;18005;E1775N3145
351;70875;18025;E1770N3145
352;72085;18182;E1775N3145
353;73178;18074;E1775N3145
354;89399;18105;E1785N3145
355;75151;18136;E1775N3145
356;71558;18145;E1770N3145
357;75249;18255;E1775N3145
358;89119;18255;E1785N3145
359;85448;18128;E1780N3145
360;66366;18338;E1770N3145
361;88689;18435;E1785N3145
362;71419;18535;E1770N3145
363;80915;18578;E1780N3145
364;88349;18575;E1785N3145
365;72179;18622;E1775N3145
366;79879;18605;E1780N3145
367;128930;19028;E1810N3145
368;83619;18697;E1780N3145
369;70547;18641;E1770N3145
370;88749;18665;E1785N3145
371;92596;18706;E1785N3145
372;93067;18645;E1785N3145
373;89329;18705;E1785N3145
374;74717;18692;E1775N3145
375;90309;18815;E1785N3145
376;87669;18845;E1785N3145
