node_id,assigned_service_point,distance
286,284,335.53124206
287,284,210.21347735
288,284,477.00950896
289,284,249.09496395
290,284,282.19738078
291,284,296.07289879
292,284,1881.89238718
293,284,1642.06396469
294,284,418.84570659
295,1026,2870.174135253999
296,284,379.80849457
297,284,418.09687401
298,284,481.41235395
299,284,462.16970375
300,753,2321.6948708
301,284,505.14713969
302,284,562.75269498
303,284,1636.4467507130005
304,284,2327.8647561200005
305,284,1776.3463577600005
306,284,1858.9538371200003
307,284,1822.9516149700005
308,284,1627.9750330600002
309,284,599.61036005
310,284,1822.55006679
311,284,1496.4111702600003
312,284,1486.3304956800002
313,284,1736.6314205
314,284,1409.1681991900002
315,284,1353.3366668800002
316,284,1281.71955999
317,284,1270.26093878
318,753,2165.100071118
319,284,477.27886261
320,284,512.49945318
321,284,631.05093574
322,284,653.77735209
323,284,669.47480411
324,284,732.7232304400001
325,284,748.9349545900001
326,284,712.4172074
327,284,760.8721589300001
328,284,722.13420282
329,753,1932.859290918
330,284,737.4916114600001
331,284,1613.56072679
332,6765,1884.9661834450003
333,6765,1911.1365283550003
334,6765,1916.8371733850008
335,284,1976.8559821
336,6765,1926.0816311840008
337,284,2662.61810728
338,1026,2101.6486613309994
339,1026,2089.4646554209994
340,6765,2221.7282166150003
341,417,615.1314198
342,753,1540.1080085500002
343,753,1663.392868736
344,1258,2351.587480124
345,753,1682.2409455559998
346,417,591.1194109600001
347,657,1663.07158579
348,753,2078.56640425
349,753,1506.458400248
350,753,1642.922176306
351,753,1593.6710099180002
352,753,1452.817934398
353,753,1672.259695258
354,417,543.6115168800001
355,753,1556.720958216
356,753,1524.3248492480002
357,753,1541.305057336
358,417,511.8467565300001
359,2155,3491.476852737
360,753,1972.592534739
361,417,558.4622046100001
362,753,1484.321385848
363,753,1535.02187325
364,417,561.3256878700001
365,753,1407.825046068
366,753,1431.38669585
367,657,1531.83157669
368,753,1971.6304888500003
369,753,1543.5508752700002
370,417,520.3256878700001
371,417,225.60455002
372,417,273.09791798000003
373,417,462.1879204600001
374,753,1588.158789134
375,417,363.5725058400001
376,417,572.45288047
377,753,1667.50149435
378,417,238.60330945000004
