Square,Population,Male,Female,Age0-14,Age15-24,Age25-44,Age45-64,Age65+,Households,Single-person households,Multi-person households w/o kids,Single parent households,Two-parent households,Houses,Home ownership %,Rental %,Social housing %,Vacant houses,Avg. home value,Urbanization index,Median household income,Percentage low income households,Percentage high income households,Distance nearest supermarket in km,X,Y
E1745N3165,1135,495.0,640.0,90.0,190.0,220.0,205.0,425.0,660.0,445.0,140.0,10.0,65.0,635.0,40.0,60.0,15.0,170.0,271.0,2.0,40-60 midden,51.0,18.0,1,"32455,91661","38021,445"
E1745N3170,3090,1365.0,1725.0,105.0,1745.0,750.0,290.0,200.0,2655.0,2370.0,170.0,30.0,85.0,495.0,50.0,50.0,170.0,85.0,240.0,1.0,20-60 below middle to middle,50.0,13.0,"0,7","32455,91661","42640,61"
E1745N3175,890,385.0,505.0,45.0,100.0,100.0,175.0,475.0,540.0,285.0,200.0,10.0,45.0,520.0,50.0,50.0,155.0,35.0,224.0,1.0,20-60 below middle to middle,56.0,9.0,"0,3","32455,91661","47259,775"
E1745N3180,1460,685.0,775.0,160.0,275.0,365.0,330.0,335.0,870.0,505.0,195.0,75.0,90.0,820.0,30.0,70.0,395.0,55.0,154.0,1.0,20-40 below middle,71.0,4.0,"0,4","32455,91661","51878,94"
E1745N3185,1255,580.0,670.0,165.0,120.0,245.0,335.0,390.0,715.0,390.0,165.0,70.0,85.0,710.0,10.0,90.0,585.0,25.0,149.0,2.0,20-40 below middle,77.0,2.0,"0,3","32455,91661","56498,105"
E1745N3190,1245,605.0,635.0,170.0,130.0,320.0,325.0,305.0,645.0,290.0,185.0,50.0,115.0,645.0,40.0,60.0,330.0,25.0,194.0,2.0,20-60 below middle to middle,52.0,10.0,"0,5","32455,91661","61117,27"
E1745N3195,125,65.0,60.0,15.0,15.0,20.0,40.0,35.0,50.0,10.0,15.0,,20.0,50.0,90.0,,,,355.0,3.0,60-80 above middle,,,"0,8","32455,91661","65736,435"
E1745N3200,45,25.0,20.0,5.0,15.0,10.0,15.0,,20.0,10.0,,,5.0,15.0,90.0,,,,208.0,5.0,20-60 below middle to middle,,,"1,3","32455,91661","70355,6"
E1745N3210,2,,,,,,,,,,,,,,,,,,,5.0,,,,,"32455,91661","79593,93"
E1750N3135,2,,,,,,,,,,,,,,,,,,,,,,,,"39650,83327","10306,455"
E1750N3140,2,,,,,,,,,,,,,,,,,,,5.0,,,,,"39650,83327","14925,62"
E1750N3145,5,,,,,,,,,,,,,,,,,,,5.0,,,,"2,4","39650,83327","19544,785"
E1750N3150,15,10.0,,,,,5.0,5.0,10.0,10.0,,,,10.0,,,,,940.0,5.0,,,,2,"39650,83327","24163,95"
E1750N3155,2,,,,,,,,,,,,,,,,,,,5.0,,,,,"39650,83327","28783,115"
E1750N3160,150,75.0,75.0,20.0,10.0,30.0,40.0,55.0,70.0,20.0,35.0,,15.0,65.0,90.0,,,,524.0,3.0,80-100 high,,,"1,1","39650,83327","33402,28"
E1750N3165,765,360.0,405.0,105.0,110.0,160.0,220.0,170.0,360.0,130.0,110.0,15.0,100.0,440.0,60.0,40.0,,105.0,340.0,2.0,60-80 above middle,33.0,37.0,"0,6","39650,83327","38021,445"
E1750N3170,2395,1135.0,1260.0,300.0,495.0,650.0,580.0,365.0,1470.0,885.0,260.0,170.0,140.0,1300.0,10.0,90.0,995.0,75.0,138.0,1.0,00-20 low,77.0,3.0,"0,3","39650,83327","42640,61"
E1750N3175,2685,1185.0,1500.0,185.0,930.0,680.0,390.0,500.0,1900.0,1370.0,330.0,70.0,115.0,1450.0,30.0,70.0,440.0,115.0,201.0,1.0,20-40 below middle,62.0,11.0,"0,2","39650,83327","47259,775"
E1750N3180,890,430.0,460.0,110.0,195.0,220.0,245.0,120.0,520.0,300.0,105.0,30.0,80.0,470.0,40.0,60.0,180.0,20.0,196.0,1.0,20-40 below middle,48.0,15.0,"0,3","39650,83327","51878,94"
E1750N3185,920,465.0,455.0,160.0,180.0,265.0,210.0,110.0,460.0,205.0,110.0,60.0,75.0,415.0,20.0,80.0,280.0,25.0,163.0,2.0,20-40 below middle,68.0,7.0,"0,6","39650,83327","56498,105"
E1750N3190,655,295.0,360.0,90.0,115.0,165.0,165.0,120.0,330.0,145.0,80.0,50.0,50.0,315.0,20.0,80.0,230.0,10.0,151.0,3.0,20-40 below middle,66.0,4.0,"0,5","39650,83327","61117,27"
E1750N3195,55,25.0,30.0,10.0,5.0,15.0,10.0,10.0,20.0,10.0,5.0,,5.0,20.0,80.0,,,,416.0,4.0,20-60 below middle to middle,,,"0,8","39650,83327","65736,435"
E1750N3200,2,,,,,,,,,,,,,,,,,,,,,,,,"39650,83327","70355,6"
E1750N3205,15,5.0,10.0,,,,,5.0,5.0,,,,,5.0,,,,,500.0,5.0,,,,"2,2","39650,83327","74974,765"
E1750N3210,60,35.0,25.0,5.0,10.0,10.0,25.0,10.0,25.0,5.0,10.0,,10.0,30.0,80.0,30.0,,5.0,293.0,5.0,40-80 middle to above middle,,,"2,1","39650,83327","79593,93"
E1750N3215,2,,,,,,,,,,,,,,,,,,,,,,,,"39650,83327","84213,095"
E1755N3135,2,,,,,,,,,,,,,,,,,,,,,,,,"46845,74994","10306,455"
E1755N3155,80,40.0,40.0,10.0,10.0,10.0,25.0,25.0,45.0,20.0,10.0,5.0,5.0,45.0,30.0,70.0,30.0,,254.0,5.0,20-40 below middle,,,"1,4","46845,74994","28783,115"
E1755N3160,255,125.0,130.0,40.0,30.0,45.0,90.0,45.0,110.0,30.0,35.0,5.0,35.0,105.0,70.0,30.0,30.0,,436.0,4.0,40-60 midden,35.0,35.0,1,"46845,74994","33402,28"
E1755N3165,800,385.0,415.0,140.0,75.0,155.0,225.0,210.0,365.0,110.0,130.0,25.0,95.0,360.0,80.0,20.0,25.0,15.0,416.0,2.0,60-100 above middle to high,20.0,44.0,"0,7","46845,74994","38021,445"
E1755N3170,1200,545.0,660.0,75.0,295.0,240.0,230.0,365.0,765.0,495.0,165.0,40.0,60.0,665.0,30.0,70.0,215.0,60.0,260.0,1.0,20-40 below middle,58.0,16.0,"0,4","46845,74994","42640,61"
E1755N3175,2705,1245.0,1460.0,70.0,1140.0,695.0,300.0,500.0,1850.0,1460.0,275.0,30.0,65.0,1350.0,20.0,80.0,275.0,215.0,227.0,1.0,00-20 low,62.0,11.0,"0,5","46845,74994","47259,775"
E1755N3180,1290,625.0,665.0,65.0,320.0,370.0,300.0,240.0,830.0,585.0,150.0,40.0,55.0,685.0,20.0,80.0,410.0,30.0,212.0,1.0,20-40 below middle,70.0,6.0,"0,6","46845,74994","51878,94"
E1755N3185,5,,,,,,,,5.0,5.0,,,,,,,,,,2.0,,,,,"46845,74994","56498,105"
E1755N3190,15,10.0,,,,,,10.0,10.0,5.0,,,,20.0,40.0,60.0,,5.0,144.0,4.0,,,,1,"46845,74994","61117,27"
E1755N3195,20,10.0,10.0,,,,10.0,,15.0,10.0,5.0,,,,,,,,,5.0,00-40 laag tot onder midden,,,"0,9","46845,74994","65736,435"
E1755N3200,35,20.0,15.0,,10.0,15.0,,,30.0,25.0,,,,10.0,,,,,,5.0,00-40 laag tot onder midden,,,"0,9","46845,74994","70355,6"
E1755N3205,65,40.0,25.0,10.0,5.0,25.0,10.0,10.0,40.0,30.0,5.0,,5.0,20.0,70.0,30.0,,,208.0,5.0,00-40 laag tot onder midden,,,"1,8","46845,74994","74974,765"
E1755N3210,355,185.0,170.0,40.0,20.0,65.0,80.0,145.0,170.0,45.0,75.0,5.0,40.0,170.0,70.0,20.0,30.0,5.0,221.0,5.0,40-60 midden,40.0,13.0,4,"46845,74994","79593,93"
E1755N3215,2,,,,,,,,,,,,,,,,,,,,,,,,"46845,74994","84213,095"
E1755N3220,2,,,,,,,,,,,,,,,,,,,,,,,,"46845,74994","88832,26"
E1760N3130,2,,,,,,,,,,,,,,,,,,,,,,,,"54040,66661","5687,29"
E1760N3135,2,,,,,,,,,,,,,,,,,,,,,,,,"54040,66661","10306,455"
E1760N3140,2,,,,,,,,,,,,,,,,,,,5.0,,,,,"54040,66661","14925,62"
E1760N3145,2,,,,,,,,,,,,,,,,,,,,,,,,"54040,66661","19544,785"
E1760N3150,5,,,,,,,,,,,,,,,,,,,5.0,,,,"1,7","54040,66661","24163,95"
E1760N3155,2,,,,,,,,,,,,,,,,,,,4.0,,,,,"54040,66661","28783,115"
E1760N3160,390,180.0,210.0,65.0,40.0,55.0,140.0,95.0,160.0,35.0,65.0,5.0,55.0,160.0,100.0,,,5.0,606.0,3.0,80-100 high,13.0,57.0,"0,6","54040,66661","33402,28"
E1760N3165,1570,725.0,845.0,205.0,285.0,305.0,415.0,360.0,810.0,390.0,235.0,30.0,150.0,725.0,70.0,30.0,20.0,60.0,419.0,2.0,60-80 above middle,27.0,38.0,"0,3","54040,66661","38021,445"
E1760N3170,1155,550.0,600.0,40.0,430.0,295.0,175.0,210.0,855.0,650.0,155.0,10.0,30.0,775.0,20.0,70.0,120.0,155.0,338.0,1.0,20-40 below middle,54.0,18.0,"0,7","54040,66661","42640,61"
E1760N3175,1885,855.0,1030.0,40.0,785.0,645.0,210.0,210.0,1395.0,1095.0,230.0,10.0,45.0,1295.0,20.0,80.0,75.0,325.0,260.0,1.0,00-20 low,59.0,14.0,"0,3","54040,66661","47259,775"
E1760N3180,2590,1230.0,1360.0,125.0,760.0,905.0,430.0,370.0,1915.0,1425.0,345.0,45.0,90.0,1765.0,20.0,80.0,635.0,185.0,216.0,1.0,20-40 below middle,62.0,10.0,"0,4","54040,66661","51878,94"
E1760N3185,385,195.0,190.0,,295.0,80.0,5.0,,375.0,370.0,,,,15.0,40.0,60.0,,5.0,274.0,2.0,00-20 low,,,"0,9","54040,66661","56498,105"
E1760N3190,1150,570.0,580.0,120.0,95.0,245.0,355.0,335.0,630.0,275.0,210.0,50.0,95.0,610.0,30.0,70.0,350.0,20.0,177.0,3.0,20-40 below middle,56.0,7.0,"0,3","54040,66661","61117,27"
E1760N3195,145,70.0,75.0,20.0,20.0,35.0,65.0,5.0,75.0,35.0,20.0,5.0,15.0,40.0,90.0,,,,230.0,4.0,20-60 below middle to middle,,,"0,7","54040,66661","65736,435"
E1760N3200,30,15.0,10.0,,,10.0,5.0,5.0,20.0,10.0,,,,15.0,,,,,97.0,5.0,00-40 laag tot onder midden,,,"2,8","54040,66661","70355,6"
E1760N3205,805,395.0,410.0,75.0,100.0,165.0,265.0,200.0,435.0,185.0,145.0,35.0,65.0,405.0,50.0,40.0,115.0,15.0,187.0,5.0,20-40 below middle,53.0,10.0,"3,6","54040,66661","74974,765"
E1760N3210,450,225.0,225.0,45.0,30.0,80.0,145.0,145.0,210.0,55.0,100.0,5.0,45.0,215.0,90.0,10.0,15.0,,206.0,5.0,40-60 midden,26.0,14.0,"4,1","54040,66661","79593,93"
E1765N3135,15,10.0,10.0,,,,10.0,,10.0,,5.0,,,10.0,,,,,398.0,5.0,,,,3,"61235,58327","10306,455"
E1765N3140,2,,,,,,,,,,,,,,,,,,,5.0,,,,,"61235,58327","14925,62"
E1765N3145,2,,,,,,,,,,,,,,,,,,,5.0,,,,,"61235,58327","19544,785"
E1765N3150,75,35.0,35.0,15.0,,15.0,25.0,20.0,35.0,10.0,15.0,,10.0,35.0,90.0,10.0,,,509.0,4.0,60-80 above middle,,,"1,5","61235,58327","24163,95"
E1765N3155,90,35.0,55.0,15.0,5.0,10.0,30.0,30.0,45.0,15.0,15.0,,10.0,45.0,80.0,10.0,,5.0,523.0,4.0,60-80 above middle,,,"1,2","61235,58327","28783,115"
E1765N3160,520,240.0,280.0,75.0,75.0,80.0,175.0,115.0,265.0,115.0,80.0,15.0,50.0,240.0,70.0,30.0,35.0,15.0,398.0,3.0,40-60 midden,35.0,31.0,"0,6","61235,58327","33402,28"
E1765N3165,965,460.0,505.0,150.0,110.0,140.0,245.0,320.0,435.0,190.0,145.0,15.0,85.0,450.0,80.0,20.0,10.0,45.0,514.0,2.0,60-80 above middle,25.0,37.0,"0,4","61235,58327","38021,445"
E1765N3170,450,210.0,240.0,35.0,95.0,110.0,95.0,115.0,290.0,185.0,75.0,10.0,20.0,300.0,30.0,70.0,95.0,55.0,425.0,1.0,20-60 below middle to middle,51.0,19.0,"0,7","61235,58327","42640,61"
E1765N3175,1615,720.0,895.0,30.0,715.0,525.0,180.0,170.0,1295.0,1030.0,205.0,20.0,25.0,1195.0,10.0,80.0,90.0,295.0,234.0,1.0,00-40 laag tot onder midden,60.0,9.0,"0,2","61235,58327","47259,775"
E1765N3180,765,375.0,390.0,25.0,200.0,265.0,125.0,150.0,580.0,430.0,105.0,15.0,20.0,515.0,20.0,80.0,110.0,65.0,200.0,1.0,20-40 below middle,63.0,12.0,"0,4","61235,58327","51878,94"
E1765N3185,35,20.0,15.0,,5.0,10.0,10.0,5.0,20.0,15.0,,,,20.0,,,,,169.0,2.0,00-40 laag tot onder midden,,,"0,3","61235,58327","56498,105"
E1765N3190,140,65.0,70.0,10.0,20.0,25.0,65.0,15.0,60.0,15.0,25.0,,15.0,65.0,100.0,,,,219.0,4.0,40-80 middle to above middle,,,"0,6","61235,58327","61117,27"
E1765N3195,5,,,,,,,,,,,,,,,,,,,4.0,,,,"1,8","61235,58327","65736,435"
E1765N3200,2,,,,,,,,,,,,,,,,,,,,,,,,"61235,58327","70355,6"
E1765N3205,55,35.0,25.0,,15.0,20.0,15.0,5.0,35.0,20.0,10.0,,5.0,35.0,30.0,70.0,,,158.0,5.0,20-60 below middle to middle,,,"3,8","61235,58327","74974,765"
E1765N3210,2,,,,,,,,,,,,,,,,,,,5.0,,,,,"61235,58327","79593,93"
E1765N3215,5,,,,,,,,,,,,,,,,,,,5.0,,,,,"61235,58327","84213,095"
E1770N3125,2,,,,,,,,,,,,,,,,,,,5.0,,,,,"68430,49994","1068,125"
E1770N3145,340,150.0,190.0,40.0,25.0,80.0,110.0,85.0,180.0,85.0,55.0,20.0,20.0,170.0,40.0,60.0,90.0,,196.0,4.0,20-40 below middle,58.0,7.0,"1,2","68430,49994","19544,785"
E1770N3150,555,285.0,270.0,60.0,70.0,125.0,180.0,115.0,285.0,135.0,85.0,25.0,40.0,310.0,40.0,60.0,125.0,10.0,235.0,4.0,40-60 midden,48.0,19.0,"0,6","68430,49994","24163,95"
E1770N3155,705,335.0,370.0,50.0,100.0,160.0,170.0,225.0,425.0,225.0,145.0,15.0,40.0,430.0,40.0,60.0,145.0,25.0,239.0,3.0,20-60 below middle to middle,51.0,16.0,"0,2","68430,49994","28783,115"
E1770N3160,750,355.0,400.0,75.0,70.0,185.0,225.0,195.0,400.0,170.0,140.0,20.0,70.0,405.0,70.0,30.0,,20.0,257.0,2.0,60-80 above middle,29.0,24.0,"0,6","68430,49994","33402,28"
E1770N3165,235,125.0,105.0,25.0,80.0,70.0,40.0,15.0,140.0,85.0,30.0,,25.0,90.0,60.0,40.0,30.0,,307.0,1.0,40-60 midden,,,"0,4","68430,49994","38021,445"
E1770N3170,2785,1330.0,1455.0,170.0,275.0,690.0,540.0,1110.0,1760.0,945.0,625.0,50.0,135.0,1875.0,40.0,60.0,340.0,220.0,349.0,1.0,40-80 middle to above middle,34.0,20.0,"0,5","68430,49994","42640,61"
E1770N3175,2235,1020.0,1215.0,85.0,820.0,725.0,355.0,250.0,1690.0,1305.0,275.0,25.0,75.0,1365.0,20.0,80.0,320.0,195.0,252.0,1.0,20-40 below middle,59.0,14.0,"0,3","68430,49994","47259,775"
E1770N3180,1510,685.0,825.0,95.0,450.0,400.0,355.0,210.0,1045.0,740.0,185.0,50.0,70.0,860.0,10.0,80.0,515.0,60.0,192.0,1.0,00-40 laag tot onder midden,66.0,9.0,"0,3","68430,49994","51878,94"
E1770N3185,70,30.0,40.0,15.0,5.0,20.0,25.0,10.0,35.0,20.0,10.0,,5.0,35.0,,100.0,,,151.0,2.0,00-40 laag tot onder midden,,,"0,4","68430,49994","56498,105"
