EDGE ID;V1;V2;DIST;DIRECTED (v1 -> v2);TYPE;NAME;MAX_SPEED;X1;Y1;X2;Y2;Square 1;Square 2;Square mid
e11096;8279;8282;43,91639785;TRUE;tertiary;undefined;50;34710;48325;35103;48521;E1745N3175;E1745N3175;E1745N3175
e10605;3155;5993;10,90779538;FALSE;residential;Gebroeders van Limburgstraat;30;55249;58005;55342;58062;E1760N3185;E1760N3185;E1760N3185
e11063;8289;8257;160,1764652;TRUE;secondary;undefined;80;74585;3189;75022;4730;E1775N3125;E1775N3130;E1775N3130
e11052;3456;5818;125,00256;TRUE;residential;Severenplein;30;96923;61626;98173;61634;E1790N3190;E1790N3190;E1790N3190
e11088;4968;4960;57,05611273;TRUE;service;undefined;5;80146;31303;80714;31249;E1780N3160;E1780N3160;E1780N3160
e11084;8272;8273;5,803447251;FALSE;service;undefined;5;78235;34094;78237;34152;E1775N3160;E1775N3160;E1775N3160
e11073;5606;8266;79,71605861;FALSE;service;undefined;5;76629;31102;77426;31086;E1775N3160;E1775N3155;E1775N3160
e11059;4945;8001;226,6594362;FALSE;secondary;Statensingel;50;47311;50176;49174;51467;E1755N3180;E1755N3180;E1755N3180
e11049;4035;6625;110,2249064;FALSE;unclassified;Boekenderweg;80;89064;81947;88176;82600;E1785N3215;E1785N3215;E1785N3215
e11067;185;8258;69,56500557;TRUE;unclassified;undefined;80;73800;3307;74477;3147;E1775N3125;E1775N3125;E1775N3125
e11057;2640;2656;35,74185222;FALSE;residential;Orleansstraat;30;37516;49567;37188;49709;E1750N3175;E1750N3180;E1750N3180
e11061;1987;1954;64,20124609;FALSE;residential;Asterstraat;30;39671;43129;39059;42935;E1750N3170;E1750N3170;E1750N3170
e11058;8255;1574;18,18928256;TRUE;tertiary;Maasboulevard;50;62107;39729;62045;39558;E1765N3165;E1765N3165;E1765N3165
e10993;8209;7698;47,69444412;FALSE;tertiary;Rijksweg;30;96326;9902;96200;10362;E1790N3135;E1790N3135;E1790N3135
e11024;8230;8231;18,74273192;FALSE;service;undefined;5;9583;52175;9468;52323;E1730N3180;E1730N3180;E1730N3180
e11344;8481;8482;12,34058345;FALSE;unclassified;Sandersweg;50;45667;61891;45544;61881;E1755N3190;E1755N3190;E1755N3190
e11017;8222;8223;14,0431478;FALSE;service;undefined;5;90739;76671;90614;76735;E1785N3205;E1785N3205;E1785N3205
e11010;8224;8218;59,86802151;FALSE;service;undefined;5;90437;76825;90910;77192;E1785N3205;E1785N3205;E1785N3205
e11025;8232;8233;15,54380906;FALSE;service;undefined;5;10283;52669;10164;52569;E1730N3180;E1730N3180;E1730N3180
e11011;4913;8225;59,76386868;FALSE;service;undefined;5;90775;77259;90301;76895;E1785N3205;E1785N3205;E1785N3205
e11035;1135;8243;6,894200461;FALSE;tertiary;Kruisstraat;50;88805;35231;88742;35259;E1785N3160;E1785N3160;E1785N3160
e11006;5361;5585;21,5425161;FALSE;service;undefined;5;92443;76835;92301;76997;E1785N3205;E1785N3205;E1785N3205
e10990;275;284;39,94058087;FALSE;tertiary;Rijksweg;30;97074;8435;96849;8765;E1790N3135;E1790N3135;E1790N3135
e10977;3969;3970;25,86445437;FALSE;residential;Veeweg;30;124742;78566;124538;78725;E1810N3210;E1810N3210;E1810N3210
e10978;3970;7619;50,45879507;FALSE;residential;Veeweg;30;124538;78725;124113;78997;E1810N3210;E1810N3210;E1810N3210
e10984;2539;7156;8,154140053;FALSE;unclassified;Peutgensweg;80;111952;48388;111907;48456;E1800N3175;E1800N3175;E1800N3175
e10787;2792;2734;73,10170997;FALSE;residential;Van Hasseltkade;30;59633;51423;59628;50692;E1765N3180;E1765N3180;E1765N3180
e10681;8061;6044;122,1318959;FALSE;service;Commandeurslaan;5;57156;56788;57950;55860;E1760N3185;E1765N3185;E1760N3185
e10680;8450;8061;32,72139973;FALSE;service;Commandeurslaan;5;57194;57113;57156;56788;E1760N3185;E1760N3185;E1760N3185
e10500;7859;7860;55,2762155;FALSE;tertiary;Willem Alexanderweg;50;70101;64002;70240;64537;E1770N3195;E1770N3195;E1770N3195
e10611;7920;7925;143,2068434;FALSE;service;undefined;5;73602;3636;72170;3650;E1775N3130;E1775N3130;E1775N3130
e10509;2485;2487;85,22968966;TRUE;residential;Professor Pieter Willemsstraat;30;74448;47584;75299;47631;E1775N3175;E1775N3175;E1775N3175
e10972;6625;5587;270,6179964;FALSE;unclassified;Boekenderweg;50;88176;82600;85477;82403;E1785N3215;E1780N3215;E1785N3215
e11026;8233;8234;14,3586211;FALSE;service;undefined;5;10164;52569;10025;52533;E1730N3180;E1730N3180;E1730N3180
e10976;4955;3803;129,588001;FALSE;unclassified;Gemeentebroek;60;130049;71908;128805;72271;E1815N3200;E1810N3200;E1810N3200
e11013;8219;8220;20,62474242;FALSE;service;undefined;5;89916;76421;90103;76334;E1785N3205;E1785N3205;E1785N3205
e10942;6532;767;68,804433;TRUE;tertiary;Langendaal;50;90555;28042;90502;28728;E1785N3155;E1785N3155;E1785N3155
e10927;519;672;401,8537172;FALSE;tertiary;Maasboulevard;50;62436;23026;62011;27022;E1765N3150;E1765N3155;E1765N3150
e10928;8162;8158;3,40147027;FALSE;tertiary;Maasboulevard;50;62347;21854;62348;21888;E1765N3145;E1765N3150;E1765N3150
e10923;8157;8156;14,03566885;FALSE;unclassified;Lage Kanaaldijk;50;62055;21899;62065;22039;E1765N3150;E1765N3150;E1765N3150
e10924;8159;8157;3,612478374;FALSE;unclassified;Lage Kanaaldijk;50;62052;21863;62055;21899;E1765N3150;E1765N3150;E1765N3150
e10920;8153;8151;9,15259526;TRUE;service;undefined;5;94982;25949;94931;26025;E1790N3150;E1790N3150;E1790N3150
e10925;8158;5724;14,31258188;FALSE;tertiary;Maasboulevard;50;62348;21888;62354;22031;E1765N3150;E1765N3150;E1765N3150
e10905;8136;8137;11,4280357;FALSE;residential;Markt;30;120503;81903;120495;82017;E1805N3210;E1805N3215;E1805N3215
e10904;8135;8136;15,5724115;FALSE;residential;Markt;30;120518;81748;120503;81903;E1805N3210;E1805N3210;E1805N3210
e10633;7934;7933;20,66518812;FALSE;service;undefined;5;27756;49757;27552;49790;E1740N3180;E1740N3180;E1740N3180
e10909;4588;1843;15,03329638;FALSE;service;undefined;5;19925;42252;19915;42102;E1735N3170;E1735N3170;E1735N3170
e10632;2650;7934;21,35649784;FALSE;service;undefined;5;27967;49724;27756;49757;E1740N3180;E1740N3180;E1740N3180
e10906;8139;8390;10,63014581;FALSE;construction;Frans Fouraschenstraat;5;54408;52311;54514;52303;E1760N3180;E1760N3180;E1760N3180
e10520;2424;5062;23,82960344;TRUE;secondary;Hertogsingel;50;43944;46774;43911;47010;E1755N3175;E1755N3175;E1755N3175
e10507;5483;6156;58,69625201;FALSE;unclassified;Kanaalstraat;5;7582;27649;7265;28143;E1730N3155;E1725N3155;E1730N3155
