Square,Population,Male,Female,Age0-14,Age15-24,Age25-44,Age45-64,Age65+,Households,Single-person households,Multi-person households w/o kids,Single parent households,Two-parent households,Houses,Home ownership %,Rental %,Social housing %,Vacant houses,Avg. home value,Urbanization index,Median household income,Percentage low income households,Percentage high income households,Distance nearest supermarket in km,X,Y,Male.prop,Female.prop,Age0-14.prop,Age15-24.prop,Age25-44.prop,Age45-64.prop,Age65+.prop,Single-person households.prop,Multi-person households w/o kids.prop,Single parent households.prop,Two-parent households.prop,hold_house_ratio,pop_house_ratio,pop_hold_ratio,Income_median
E1735N3175,855,390.0,470.0,155.0,85.0,200.0,225.0,195.0,405.0,145.0,105.0,70.0,80.0,395.0,30.0,70.0,250.0,5.0,160.0,2.0,20-40 below middle,63.0,5.0,"0,9",18066.08328,47259.775,45.614035087719294,54.97076023391813,18.128654970760234,9.941520467836257,23.391812865497073,26.31578947368421,22.807017543859647,35.80246913580247,25.925925925925924,17.28395061728395,19.753086419753085,1.0253164556962024,2.1645569620253164,2.111111111111111,30.0
E1735N3180,810,395.0,415.0,120.0,85.0,235.0,205.0,160.0,425.0,205.0,90.0,55.0,75.0,420.0,10.0,90.0,390.0,10.0,123.0,2.0,20-40 below middle,75.0,4.0,1,18066.08328,51878.94,48.76543209876543,51.23456790123457,14.814814814814813,10.493827160493826,29.01234567901235,25.308641975308642,19.753086419753085,48.23529411764706,21.176470588235293,12.941176470588237,17.647058823529413,1.0119047619047619,1.9285714285714286,1.9058823529411764,30.0
E1735N3185,295,140.0,155.0,35.0,35.0,55.0,85.0,85.0,140.0,45.0,50.0,15.0,30.0,140.0,30.0,70.0,75.0,5.0,167.0,2.0,20-40 below middle,56.0,7.0,"0,7",18066.08328,56498.105,47.45762711864407,52.54237288135594,11.864406779661017,11.864406779661017,18.64406779661017,28.8135593220339,28.8135593220339,32.142857142857146,35.714285714285715,10.714285714285714,21.428571428571427,1.0,2.107142857142857,2.107142857142857,30.0
E1735N3190,1860,860.0,1000.0,175.0,150.0,335.0,520.0,680.0,1045.0,515.0,305.0,80.0,140.0,1025.0,20.0,80.0,770.0,10.0,156.0,2.0,20-40 below middle,72.0,4.0,"0,4",18066.08328,61117.27,46.236559139784944,53.76344086021505,9.408602150537634,8.064516129032258,18.010752688172044,27.956989247311824,36.55913978494624,49.282296650717704,29.1866028708134,7.655502392344498,13.397129186602871,1.0195121951219512,1.8146341463414635,1.7799043062200957,30.0
E1735N3195,480,235.0,250.0,65.0,35.0,95.0,155.0,130.0,235.0,75.0,85.0,35.0,40.0,245.0,30.0,70.0,150.0,10.0,164.0,3.0,20-40 below middle,53.0,3.0,"0,5",18066.08328,65736.435,48.95833333333333,52.083333333333336,13.541666666666666,7.291666666666667,19.791666666666664,32.29166666666667,27.083333333333332,31.914893617021278,36.17021276595745,14.893617021276595,17.02127659574468,0.9591836734693877,1.9591836734693877,2.0425531914893615,30.0
E1735N3205,3,1.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,18066.08328,74974.765,33.33333333333333,66.66666666666666,33.33333333333333,0.0,66.66666666666666,0.0,0.0,0.0,0.0,0.0,100.0,1.0,3.0,3.0,
E1740N3140,3,1.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,25260.99994,14925.62,33.33333333333333,66.66666666666666,33.33333333333333,0.0,66.66666666666666,0.0,0.0,0.0,0.0,0.0,100.0,1.0,3.0,3.0,
E1740N3155,305,145.0,160.0,35.0,30.0,45.0,95.0,100.0,135.0,25.0,65.0,5.0,35.0,135.0,90.0,10.0,0.0,0.0,326.0,4.0,60-80 above middle,15.0,33.0,"1,1",25260.99994,28783.115,47.540983606557376,52.459016393442624,11.475409836065573,9.836065573770492,14.754098360655737,31.147540983606557,32.78688524590164,18.51851851851852,48.148148148148145,3.7037037037037033,25.925925925925924,1.0,2.259259259259259,2.259259259259259,70.0
E1740N3160,705,350.0,355.0,80.0,85.0,100.0,215.0,225.0,325.0,95.0,135.0,15.0,85.0,320.0,90.0,10.0,0.0,20.0,479.0,3.0,60-80 above middle,13.0,44.0,1,25260.99994,33402.28,49.645390070921984,50.35460992907801,11.347517730496454,12.056737588652481,14.184397163120568,30.49645390070922,31.914893617021278,29.230769230769234,41.53846153846154,4.615384615384616,26.153846153846157,1.015625,2.203125,2.169230769230769,70.0
E1740N3165,845,435.0,410.0,95.0,90.0,170.0,280.0,205.0,375.0,100.0,155.0,10.0,110.0,380.0,90.0,10.0,25.0,10.0,241.0,2.0,40-80 middle to above middle,22.0,25.0,"0,7",25260.99994,38021.445,51.4792899408284,48.5207100591716,11.242603550295858,10.650887573964498,20.118343195266274,33.13609467455622,24.2603550295858,26.666666666666668,41.333333333333336,2.666666666666667,29.333333333333332,0.9868421052631579,2.223684210526316,2.2533333333333334,60.0
