node_id,x,y,square,nearest_service_point,population
258,93262.0,7170.0,E1785N3130,284,320
259,102066.0,7274.0,E1795N3130,284,85
260,101558.0,7323.0,E1795N3130,284,85
261,94659.0,7525.0,E1790N3130,284,915
262,92898.0,7657.0,E1785N3130,284,320
263,91622.0,7805.0,E1785N3130,284,320
264,99107.0,7877.0,E1790N3130,284,915
265,100547.0,7873.0,E1790N3130,284,915
266,94319.0,8065.0,E1790N3135,284,490
267,97375.0,8041.0,,284,NA
268,89139.0,8125.0,E1785N3135,284,2
269,89465.0,8155.0,E1785N3135,284,2
270,87865.0,8218.0,E1785N3135,284,2
271,88955.0,8274.0,E1785N3135,284,2
272,89607.0,8295.0,E1785N3135,284,2
273,89069.0,8365.0,E1785N3135,284,2
274,89395.0,8385.0,E1785N3135,284,2
275,97074.0,8435.0,E1790N3135,284,490
276,102227.0,8490.0,E1795N3135,284,75
277,102841.0,8515.0,E1795N3135,284,75
278,99675.0,8525.0,E1790N3135,284,490
279,102948.0,8539.0,E1795N3135,284,75
280,98319.0,8575.0,E1790N3135,284,490
281,98684.0,8566.0,E1790N3135,284,490
282,83235.0,8691.0,E1780N3135,284,35
283,82498.0,8768.0,E1780N3135,284,35
284,96849.0,8765.0,E1790N3135,284,490
285,103333.0,8896.0,E1795N3135,284,75
286,99794.0,8850.0,E1790N3135,284,490
287,98056.0,8940.0,E1790N3135,284,490
288,101207.0,8921.0,E1795N3135,284,75
289,98432.0,9039.0,E1790N3135,284,490
290,98736.0,9170.0,E1790N3135,284,490
291,98663.0,9288.0,E1790N3135,284,490
292,88850.0,9182.0,E1785N3135,284,2
293,89128.0,9251.0,E1785N3135,284,2
294,99895.0,9677.0,E1790N3135,284,490
295,57718.0,9903.0,,1026,NA
296,98949.0,10075.0,E1790N3135,284,490
297,99239.0,10325.0,E1790N3135,284,490
298,99737.0,10716.0,E1790N3135,284,490
299,96819.0,11135.0,E1790N3135,284,490
300,74076.0,11266.0,E1775N3135,753,2
301,96628.0,11520.0,E1790N3135,284,490
302,96892.0,12032.0,E1790N3135,284,490
303,85242.0,12227.0,E1780N3135,284,35
304,78233.0,12244.0,E1775N3135,284,2
305,83748.0,12265.0,E1780N3135,284,35
306,82922.0,12276.0,E1780N3135,284,35
307,83282.0,12272.0,E1780N3135,284,35
308,85231.0,12311.0,E1780N3135,284,35
309,96137.0,12327.0,E1790N3135,284,490
310,82992.0,12359.0,E1780N3135,284,35
311,86540.0,12443.0,E1785N3135,284,2
312,86639.0,12462.0,E1785N3135,284,2
313,85202.0,13393.0,E1780N3140,284,145
314,87398.0,12601.0,,284,NA
315,87948.0,12697.0,E1785N3140,284,10
316,88653.0,12823.0,E1785N3140,284,10
317,88766.0,12842.0,E1785N3140,284,10
318,73293.0,12880.0,E1775N3140,753,95
319,94747.0,13036.0,E1790N3140,284,25
320,94482.0,13268.0,E1790N3140,284,25
321,94469.0,14448.0,E1790N3140,284,25
322,94349.0,14641.0,E1790N3140,284,25
323,94228.0,14741.0,E1790N3140,284,25
324,93620.0,14846.0,,284,NA
325,93469.0,14905.0,E1785N3140,284,10
326,93866.0,14972.0,E1790N3140,284,25
327,93460.0,15050.0,E1785N3140,284,10
328,93827.0,15061.0,E1790N3140,284,25
329,72570.0,15087.0,E1775N3140,753,95
330,93684.0,15117.0,,284,NA
331,86669.0,15483.0,E1785N3140,284,10
332,34430.0,15535.0,E1745N3140,6765,2
333,34018.0,15547.0,E1745N3140,6765,2
334,34356.0,15845.0,E1745N3140,6765,2
335,84822.0,15765.0,E1780N3140,284,145
336,34331.0,15934.0,E1745N3140,6765,2
337,86009.0,16454.0,E1780N3140,284,145
338,61579.0,16685.0,E1765N3140,1026,2
339,61465.0,16728.0,E1765N3140,1026,2
340,32869.0,16995.0,E1745N3140,6765,2
341,94673.0,16977.0,E1790N3140,417,25
342,75832.0,17236.0,,753,NA
343,74529.0,17276.0,,753,NA
344,31777.0,18044.0,E1745N3145,1258,15
345,74480.0,17458.0,E1775N3145,753,1000
346,89809.0,17865.0,E1785N3145,417,1600
347,129143.0,17733.0,E1810N3145,657,2
348,84159.0,17774.0,E1780N3145,753,95
349,71669.0,18005.0,E1770N3145,753,340
350,74299.0,18005.0,E1775N3145,753,1000
351,70875.0,18025.0,E1770N3145,753,340
352,72085.0,18182.0,,753,NA
353,73178.0,18074.0,E1775N3145,753,1000
354,89399.0,18105.0,E1785N3145,417,1600
355,75151.0,18136.0,E1775N3145,753,1000
356,71558.0,18145.0,E1770N3145,753,340
357,75249.0,18255.0,E1775N3145,753,1000
358,89119.0,18255.0,E1785N3145,417,1600
359,85448.0,18128.0,E1780N3145,284,95
360,66366.0,18338.0,E1770N3145,753,340
361,88689.0,18435.0,E1785N3145,417,1600
362,71419.0,18535.0,E1770N3145,753,340
363,80915.0,18578.0,E1780N3145,753,95
364,88349.0,18575.0,E1785N3145,417,1600
365,72179.0,18622.0,E1775N3145,753,1000
366,79879.0,18605.0,E1780N3145,753,95
367,128930.0,19028.0,E1810N3145,657,2
368,83619.0,18697.0,E1780N3145,753,95
369,70547.0,18641.0,E1770N3145,753,340
370,88749.0,18665.0,E1785N3145,417,1600
371,92596.0,18706.0,E1785N3145,417,1600
372,93067.0,18645.0,E1785N3145,417,1600
373,89329.0,18705.0,E1785N3145,417,1600
374,74717.0,18692.0,E1775N3145,753,1000
375,90309.0,18815.0,E1785N3145,417,1600
376,87669.0,18845.0,E1785N3145,417,1600
377,82193.0,18927.0,E1780N3145,753,95
378,91379.0,18955.0,E1785N3145,417,1600
379,65056.0,18955.0,E1770N3145,753,340
380,66369.0,18955.0,E1770N3145,753,340
381,92379.0,19135.0,E1785N3145,417,1600
382,91949.0,19195.0,E1785N3145,417,1600
383,91459.0,19275.0,E1785N3145,417,1600
384,93069.0,19355.0,E1785N3145,417,1600
385,88089.0,19375.0,E1785N3145,417,1600
386,90529.0,19415.0,E1785N3145,417,1600
387,93819.0,19415.0,E1790N3145,417,100
388,88039.0,19465.0,E1785N3145,417,1600
389,88679.0,19465.0,E1785N3145,417,1600
390,90169.0,19485.0,E1785N3145,417,1600
391,87749.0,19545.0,E1785N3145,417,1600
392,94009.0,19615.0,E1790N3145,417,100
393,67281.0,19600.0,E1770N3145,753,340
394,76311.0,19673.0,E1775N3145,753,1000
395,87759.0,19675.0,E1785N3145,417,1600
396,91859.0,19675.0,E1785N3145,417,1600
397,67246.0,19621.0,E1770N3145,753,340
398,93877.0,19723.0,E1790N3145,417,100
399,76769.0,19724.0,E1775N3145,753,1000
400,86919.0,19735.0,E1785N3145,417,1600
401,88939.0,19815.0,E1785N3145,417,1600
402,79942.0,19852.0,E1780N3145,753,95
403,76549.0,19842.0,E1775N3145,753,1000
404,90309.0,19915.0,E1785N3145,417,1600
405,93079.0,19945.0,E1785N3145,417,1600
406,93249.0,19955.0,E1785N3145,417,1600
407,93642.0,19940.0,,417,NA
408,72719.0,20005.0,E1775N3145,753,1000
409,66166.0,19987.0,E1770N3145,753,340
410,92143.0,20012.0,E1785N3145,417,1600
411,74322.0,20085.0,E1775N3145,753,1000
412,39187.0,20110.0,E1750N3145,6765,5
413,78403.0,20127.0,E1775N3145,753,1000
414,89226.0,20175.0,E1785N3145,417,1600
415,90119.0,20185.0,E1785N3145,417,1600
416,75335.0,20257.0,E1775N3145,753,1000
417,92729.0,20245.0,E1785N3145,417,1600
418,30920.0,20270.0,E1745N3145,1258,15
419,88199.0,20345.0,E1785N3145,417,1600
420,33143.0,20378.0,E1745N3145,1258,15
421,75380.0,20446.0,E1775N3145,753,1000
422,128419.0,20443.0,E1810N3145,657,2
423,75152.0,20445.0,E1775N3145,753,1000
424,73904.0,20472.0,E1775N3145,753,1000
425,95010.0,20500.0,E1790N3145,417,100
426,71850.0,20516.0,E1770N3145,753,340
427,72189.0,20515.0,E1775N3145,753,1000
428,66699.0,20525.0,E1770N3145,753,340
429,88999.0,20525.0,E1785N3145,417,1600
430,72717.0,20559.0,E1775N3145,753,1000
431,70192.0,20566.0,E1770N3145,753,340
432,70469.0,20576.0,E1770N3145,753,340
433,72974.0,20585.0,E1775N3145,753,1000
434,92729.0,20575.0,E1785N3145,417,1600
435,89226.0,20632.0,E1785N3145,417,1600
436,87283.0,20627.0,E1785N3145,417,1600
437,73879.0,20685.0,E1775N3145,753,1000
438,76367.0,20704.0,E1775N3145,753,1000
439,88127.0,20780.0,E1785N3145,417,1600
440,74479.0,20795.0,E1775N3145,753,1000
441,72101.0,20911.0,,753,NA
442,75884.0,20908.0,E1775N3145,753,1000
443,90977.0,20914.0,E1785N3145,417,1600
444,93811.0,20932.0,E1790N3145,417,100
445,94171.0,20856.0,E1790N3145,417,100
446,77544.0,20953.0,E1775N3145,753,1000
447,87227.0,20949.0,E1785N3145,417,1600
448,73386.0,20984.0,E1775N3145,753,1000
449,76683.0,21005.0,E1775N3145,753,1000
450,87645.0,21007.0,E1785N3145,417,1600
451,88855.0,20981.0,E1785N3145,417,1600
452,76040.0,21047.0,E1775N3145,753,1000
453,77265.0,21037.0,E1775N3145,753,1000
454,88759.0,21065.0,E1785N3145,417,1600
455,92779.0,21065.0,E1785N3145,417,1600
456,91939.0,21115.0,E1785N3145,417,1600
457,91659.0,21135.0,E1785N3145,417,1600
458,31363.0,21123.0,E1745N3145,1258,15
459,93839.0,21145.0,E1790N3145,417,100
460,77423.0,21177.0,E1775N3145,753,1000
461,76205.0,21201.0,E1775N3145,753,1000
462,33033.0,21222.0,E1745N3145,1258,15
463,89109.0,21195.0,E1785N3145,417,1600
464,89299.0,21195.0,E1785N3145,417,1600
